id,category,item,status,source,url,dateFound,whatItProves,usagePermission,confidence,relatedProject,finalStatus,notes
"R-dapei-zahav","Contact","Dapei Zahav listing ""וליד חסן, טירה""","web","","https://www.d.co.il/80063860/37290/","2026-09-24","Possibly the company's contact details in Tira — NOT confirmed to be the same business","not-required","low","","Not used",""
"R-municipal","Projects","Municipal / regional-council documents and public tenders","needs-confirmation","Earlier research","","2026-09-24","Public projects and clients","not-required","medium","","Not yet linked to project pages","Add each document as its own row with URL and related project."
"A-logo","Brand","Original logo (SVG), white / black versions, mark","generated","","","","","","","","Interim GENERATED mark + typeset wordmark in the header, favicon","No logo found online (Facebook blocked for research). Replace public/brand/* with the company's files."
"A-hero-video","Hero","Drone / wide project video + poster + mobile crop","missing","","","","","","","","GENERATED topography illustration","Company Facebook video is the first candidate."
"A-team","Company","Walid Hasan portrait, management, site teams, group photo","missing","","","","","","","","Placeholder — people are never generated",""
"A-yard","Company","Office, equipment yard, vehicles, active site","missing","","","","","","","","GENERATED illustrations in company sections",""
"A-clients","Clients","Client names & logos with permission","missing","","","","","","","","Section hidden","Amana (Bruchin) is a candidate — needs permission."
"A-testimonials","Testimonials","Client quotes with permission","missing","","","","","","","","Section hidden",""
"A-contact","Contact","Phone, mobile, WhatsApp, email, address, hours, contact person, lead email","missing","","","","","","","","Placeholders marked NEEDS_CONFIRMATION",""
"M-home.hero","Hero","Drone video/photo of an active earthworks site at scale — machinery, terraces, haul roads. Also a vertical mobile crop and a video poster.","generated","","","","","n/a","","","GENERATED: topography",""
"M-company.story","Company","Walid Hasan and management on an active site, machinery behind","generated","","","","","n/a","","","GENERATED: residential",""
"M-project:bruchin-amana.hero","Projects","Request originals of the Bruchin photos posted on the company Facebook page; drone of the neighborhood","generated","","https://www.facebook.com/100063619101665/posts/100757044734540/","","Company posted photos of its works in Bruchin (Amana project)","requested","medium","bruchin-amana","GENERATED: residential",""
"M-project:enav.hero","Projects","Drone: finished neighborhood roads and plots, late afternoon light","generated","","","","","n/a","","enav","GENERATED: neighborhood",""
"M-capability:earthworks","Capabilities","Drone, top-down: excavator cutting a terraced site, trucks queued","generated","","","","","n/a","","","GENERATED: earthworks",""
"M-capability:infrastructure","Capabilities","Low angle: open trench with pipes, crew, excavator arm in frame","generated","","","","","n/a","","","GENERATED: network",""
"M-capability:roads","Capabilities","Drone, long diagonal: fresh road cutting through terrain at golden hour","generated","","","","","n/a","","","GENERATED: road",""
"M-capability:water","Capabilities","Detail: blue water main with fittings in trench","generated","","","","","n/a","","","GENERATED: water",""
"M-capability:sewer","Capabilities","Crane placing precast manhole ring, crew guiding","generated","","","","","n/a","","","GENERATED: sewer",""
"M-capability:drainage","Capabilities","Wide: large concrete culvert under new road","generated","","","","","n/a","","","GENERATED: drainage",""
"M-capability:development","Capabilities","Drone, high: whole neighborhood grid with roads and plots prepared","generated","","","","","n/a","","","GENERATED: neighborhood",""
"M-capability:retaining-walls","Capabilities","Tall stone retaining wall with terraced plots above","generated","","","","","n/a","","","GENERATED: retaining",""
"M-capability:residential-development","Capabilities","Drone: new neighborhood with prepared plots and fresh roads","generated","","","","","n/a","","","GENERATED: residential",""
"M-capability:public-infrastructure","Capabilities","Completed public street or square delivered for a council","generated","","","","","n/a","","","GENERATED: public",""
"M-capability:pumping-stations","Capabilities","Pumping station interior with pumps and manifolds","generated","","","","","n/a","","","GENERATED: water",""
"M-equipment:volvo-ec300e","Equipment","The company's EC300E on site, logo visible","generated","","https://www.facebook.com/gilboa.volvo/posts/1391925860922845/","","Dealer congratulated the company on delivery of a new Volvo EC300E","unknown","medium","","GENERATED: equipment-excavator",""
"M-equipment:metso-lt1213s","Equipment","The company's LT1213S crushing on site","generated","","https://www.facebook.com/mbar.ltd/posts/636146386581775/","","Supplier (M. Bar) congratulated the company on receiving a Metso LT1213S crusher","unknown","medium","","GENERATED: equipment-crusher",""
"M-equipment:wheel-loaders","Equipment","Company-owned wheel loaders with logo visible","generated","","","","","n/a","","","GENERATED: equipment-loader",""
"M-equipment:dump-trucks","Equipment","Company-owned dump trucks with logo visible","generated","","","","","n/a","","","GENERATED: equipment-dump-truck",""
"M-equipment:bulldozers","Equipment","Company-owned bulldozers with logo visible","generated","","","","","n/a","","","GENERATED: equipment-bulldozer",""
"M-equipment:rollers","Equipment","Company-owned rollers with logo visible","generated","","","","","n/a","","","GENERATED: equipment-roller",""
"M-equipment:graders","Equipment","Company-owned motor graders with logo visible","generated","","","","","n/a","","","GENERATED: equipment-grader",""
"M-person:walid-hasan","Company","Environmental portrait on site","missing","","","","","n/a","","","Placeholder",""
